Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
9/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
10/3/2020,6:00 PM,Maharashtra,5,0,0,0,5
11/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
12/3/2020,6:00 PM,Maharashtra,11,0,0,0,11
13/03/20,6:00 PM,Maharashtra,14,0,0,0,14
14/03/20,6:00 PM,Maharashtra,14,0,0,0,14
15/03/20,6:00 PM,Maharashtra,32,0,0,0,32
16/03/20,6:00 PM,Maharashtra,32,0,0,0,32
17/03/20,6:00 PM,Maharashtra,36,3,0,1,39
18/03/20,6:00 PM,Maharashtra,39,3,0,1,42
19/03/20,6:00 PM,Maharashtra,44,3,0,1,47
20/03/20,6:00 PM,Maharashtra,49,3,0,1,52
21/03/20,6:00 PM,Maharashtra,60,3,0,1,63
22/03/20,6:00 PM,Maharashtra,64,3,0,2,67
23/03/20,6:00 PM,Maharashtra,71,3,0,2,74
24/03/20,6:00 PM,Maharashtra,86,3,0,2,89
25/03/20,6:00 PM,Maharashtra,125,3,1,3,128
26/03/20,6:00 PM,Maharashtra,121,3,1,3,124
27/03/20,10:00 AM,Maharashtra,127,3,15,4,130
28/03/20,6:00 PM,Maharashtra,177,3,25,5,180
29/03/20,7:30 PM,Maharashtra,-,-,25,6,186
30/03/20,9:30 PM,Maharashtra,-,-,25,8,198
31/03/20,8:30 PM,Maharashtra,-,-,39,9,216
1/4/2020,7:30 PM,Maharashtra,-,-,39,9,302
2/4/2020,6:00 PM,Maharashtra,-,-,42,13,335
3/4/2020,6:00 PM,Maharashtra,-,-,42,16,335
4/4/2020,6:00 PM,Maharashtra,-,-,42,24,490
5/4/2020,6:00 PM,Maharashtra,-,-,42,24,490
6/4/2020,6:00 PM,Maharashtra,-,-,56,45,748
7/4/2020,6:00 PM,Maharashtra,-,-,56,48,868
8/4/2020,5:00 PM,Maharashtra,-,-,79,64,1018
9/4/2020,5:00 PM,Maharashtra,-,-,117,72,1135
10/4/2020,5:00 PM,Maharashtra,-,-,125,97,1364
11/4/2020,5:00 PM,Maharashtra,-,-,188,110,1574
12/4/2020,5:00 PM,Maharashtra,-,-,208,127,1761
13/04/20,5:00 PM,Maharashtra,-,-,217,149,1985
14/04/20,5:00 PM,Maharashtra,-,-,229,160,2337
15/04/20,5:00 PM,Maharashtra,-,-,259,178,2687
16/04/20,5:00 PM,Maharashtra,-,-,295,187,2919
17/04/20,5:00 PM,Maharashtra,-,-,300,194,3205
18/04/20,5:00 PM,Maharashtra,-,-,331,201,3323
19/04/20,5:00 PM,Maharashtra,-,-,365,211,3651
20/04/20,5:00 PM,Maharashtra,-,-,507,223,4203
21/04/20,5:00 PM,Maharashtra,-,-,572,232,4669
22/04/20,5:00 PM,Maharashtra,-,-,722,251,5221
23/04/20,5:00 PM,Maharashtra,-,-,789,269,5652
